Source,Target,Type,Id,Label,Weight
49,55,Directed,6,,7
49,3,Directed,7,,592
49,5.5,Directed,8,,19
49,8.25,Directed,9,,14
49,6.875,Directed,10,,5
49,19.19019231,Directed,11,,2
9,34,Directed,12,,43
9,3,Directed,13,,1040
9,17.5,Directed,14,,153
9,20.25,Directed,15,,60
9,18.875,Directed,16,,17
9,41.740625,Directed,17,,23
49,49,Directed,18,,214
49,17,Directed,20,,24
49,19.75,Directed,21,,4
49,18.375,Directed,22,,3
53,19,Directed,24,,31
53,3,Directed,25,,658
53,20,Directed,26,,18
53,22.63333333,Directed,27,,1
53,21.31666667,Directed,28,,1
53,56.31617647,Directed,29,,2
46,32,Directed,30,,14
46,6,Directed,31,,304
46,14.5,Directed,32,,2
46,17,Directed,33,,14
46,15.75,Directed,34,,2
46,1.605705128,Directed,35,,8
9,23,Directed,36,,68
9,2,Directed,37,,466
9,10,Directed,38,,101
9,12.5,Directed,39,,333
9,11.25,Directed,40,,26
9,1.059830508,Directed,41,,3
40,42,Directed,42,,6
40,2,Directed,43,,87
40,9.5,Directed,44,,9
40,12,Directed,45,,20
40,10.75,Directed,46,,1
40,18.80116279,Directed,47,,139
18,18,Directed,48,,126
18,3,Directed,49,,334
18,8,Directed,50,,38
18,10.5,Directed,51,,2
18,9.25,Directed,52,,3
18,27.41757813,Directed,53,,124
28,5,Directed,54,,11
28,2,Directed,55,,140
28,19.5,Directed,56,,2
28,22,Directed,57,,4
28,20.75,Directed,58,,1
28,9.892361111,Directed,59,,1
1,1,Directed,60,,225
1,2,Directed,61,,293
1,12.5,Directed,62,,40
1,15,Directed,63,,6
1,13.75,Directed,64,,2
1,8.671875,Directed,65,,239
27,27,Directed,66,,52
27,2,Directed,67,,141
27,20,Directed,68,,7
27,22.5,Directed,69,,2
27,21.25,Directed,70,,1
27,33.08446602,Directed,71,,156
57,49,Directed,72,,8
57,2,Directed,73,,56
57,7,Directed,74,,19
57,9.5,Directed,75,,5
57,8.25,Directed,76,,2
57,7.03,Directed,77,,42
9,15,Directed,78,,77
9,15.5,Directed,80,,27
9,18,Directed,81,,500
9,16.75,Directed,82,,20
9,45.2325,Directed,83,,29
34,7,Directed,84,,64
34,3,Directed,85,,271
34,20,Directed,86,,5
34,22.5,Directed,87,,1
34,21.25,Directed,88,,2
34,18.28802083,Directed,89,,1
9,20.5,Directed,93,,58
9,19.25,Directed,94,,104
9,25.044375,Directed,95,,2
10,49,Directed,96,,17
10,3,Directed,97,,475
10,17,Directed,98,,66
10,19.5,Directed,99,,30
10,18.25,Directed,100,,60
10,25.7265625,Directed,101,,2
24,4,Directed,108,,323
24,15.5,Directed,110,,12
24,18,Directed,111,,78
24,16.75,Directed,112,,14
24,18.59982014,Directed,113,,27
19,33,Directed,114,,8
19,4,Directed,115,,110
19,12.5,Directed,116,,31
19,15,Directed,117,,9
19,13.75,Directed,118,,16
19,28.15808824,Directed,119,,125
3,23,Directed,126,,11
3,5,Directed,127,,13
3,20,Directed,128,,10
3,22.5,Directed,129,,5
3,21.25,Directed,130,,1
3,5.299152542,Directed,131,,3
10,9,Directed,132,,92
10,13,Directed,134,,81
10,15.33333333,Directed,135,,1
10,14.16666667,Directed,136,,3
10,8.625111111,Directed,137,,1
53,30,Directed,138,,5
53,4,Directed,139,,42
53,13,Directed,140,,81
53,15.33333333,Directed,141,,4
53,14.16666667,Directed,142,,18
53,5.55,Directed,143,,1
36,9,Directed,144,,24
36,2,Directed,145,,80
36,7,Directed,146,,19
36,9.333333333,Directed,147,,2
36,8.166666667,Directed,148,,2
36,11.44078947,Directed,149,,2
49,51,Directed,150,,13
49,4.5,Directed,152,,3
49,6.833333333,Directed,153,,32
49,5.666666667,Directed,154,,7
49,20.58125,Directed,155,,400
9,4,Directed,157,,735
9,15.66666667,Directed,158,,6
9,16.83333333,Directed,160,,6
9,33.03571429,Directed,161,,28
14,13,Directed,162,,30
14,3,Directed,163,,163
14,11.25,Directed,164,,2
14,13.5,Directed,165,,18
14,12.375,Directed,166,,7
14,18.36397059,Directed,167,,168
27,13,Directed,170,,32
27,15.08333333,Directed,171,,3
27,14.04166667,Directed,172,,1
32,21,Directed,174,,10
32,4,Directed,175,,78
32,16.5,Directed,176,,9
